lats,lons,pnames,flag,RMSE(ordinary),bias(ordinary),corr(ordinary)
-33.28,-56.79,R_NEGRO3_YI_KM0244,20,3.5655787,3.3606682,0.8852253668656953
-34.09,-60.0,R_PARANA_ARRECIFES_KM0231,10,1.3859763,-1.2840405,0.7157779048684645
-31.07,-59.75,R_PARANA_ARROYO-FELICIANO_KM0625,20,1.1459846,-0.54652214,0.756526227406765
-30.13,-59.07,R_PARANA_ARROYO-SALINAS-TRIB-01_KM0785,10,1.3391262,-1.2980385,0.49712597760037613
-32.97,-59.2,R_PARANA_GUALEGUAY_KM0253,20,3.2851286,3.0261354,0.757279374620545
-35.94,-66.62,R_COLORADO-01_DESAGUADERO_KM0999,20,0.94735545,-0.73147583,0.22608215159910067
-31.62,-59.13,R_PARANA_GUALEGUAY_KM0515,20,1.7307141,-1.1124115,0.6825381281964518
-37.99,140.99,R_GLENELG_GLENELG_KM0014,10,2.8912158,2.806911,0.40847159410201045
-32.0,136.04,R_GAIRDNER_GAIRDNER_KM0052,20,3.1642463,-3.158249,0.15229525350040948
-38.04,141.25,R_GLENELG_GLENELG_KM0054,10,2.8800235,2.7657743,-0.09436070518234474
-35.19,139.32,R_MURRAY_MURRAY_KM0037,10,0.9721094,0.8469337,0.12501787688115906
-30.05,147.08,R_MURRAY_BARWON_KM2426,20,8.195383,8.175423,0.6164748260810201
-35.05,139.36,R_MURRAY_MURRAY_KM0060,10,1.3652208,1.1707418,0.08976004944922762
-30.1,147.56,R_MURRAY_BARWON_KM2525,10,10.084854,10.067947,-0.3376804526943554
-35.03,139.37,R_MURRAY_MURRAY_KM0063,10,0.96714884,0.84381855,0.649965664127803
-31.14,-58.8,R_PARANA_GUALEGUAY_KM0597,20,1.0011305,0.3558426,0.7002884727907438
-33.56,150.88,R_HAWKESBURY_HAWKESBURY_KM0087,10,2.736748,2.515152,0.10078315666212019
-32.83,142.34,R_MURRAY_DARLING_KM1156,10,9.702293,9.66534,0.09656031023206355
-34.86,139.42,R_MURRAY_MURRAY_KM0098,10,1.7349896,1.6204009,0.6407844825745674
-33.93,-58.54,R_PARANA_PARANA-GUAZU_KM0002,10,0.56429356,-0.385033,0.45887244530766785
-32.81,151.7,R_HUNTER_HUNTER_KM0008,10,0.47507417,-0.26634902,0.170845897213664
-34.9,139.58,R_MURRAY_MURRAY_KM0117,10,1.7567437,1.6592555,0.6785932649070598
-33.87,-58.96,R_PARANA_PARANA-GUAZU_KM0049,10,1.0452275,0.66542554,0.6865016136622181
-32.74,151.72,R_HUNTER_HUNTER_KM0024,10,0.47268543,0.018863678,0.11459690218232568
-34.8,139.55,R_MURRAY_MURRAY_KM0137,10,1.8513858,1.7102101,-0.07266370807471281
-33.87,-58.97,R_PARANA_PARANA-GUAZU_KM0050,10,1.1139778,0.7355858,0.5041315390493343
-34.06,139.8,R_MURRAY_MURRAY_KM0275,10,4.5463877,4.328716,0.33338332785910585
-33.85,-58.99,R_PARANA_PARANA-GUAZU_KM0053,10,1.0672631,0.38898158,0.5869553529909944
-33.54,-59.37,R_PARANA_PARANA-IBICUY_KM0115,10,1.8639104,1.5696805,0.8015697894189721
-33.38,-59.57,R_PARANA_PARANA-IBICUY_KM0145,10,2.072579,1.734592,0.8112175249590418
-32.46,150.86,R_HUNTER_HUNTER_KM0196,20,3.7423043,-3.7071304,0.14218486374085268
-33.73,-59.42,R_PARANA_PARANA_KM0122,10,1.9603174,1.5116804,0.5702358377295847
-31.01,152.96,R_MACLEAY_MACLEAY_KM0023,10,0.5414792,0.08899814,0.2728729838183573
-33.71,-59.47,R_PARANA_PARANA_KM0127,10,1.9733666,1.5979111,0.7393670216685991
-33.65,-59.49,R_PARANA_PARANA_KM0134,10,1.926508,1.5188949,0.7792184910846142
-33.25,-59.61,R_PARANA_PARANA_KM0168,10,1.7683879,1.4463968,0.8302819176065572
-33.53,-59.83,R_PARANA_PARANA_KM0181,10,1.7514566,1.2894764,0.9034838562942361
-30.92,-59.79,R_PARANA_PARANA_KM0622,10,4.9188385,-4.460493,0.9160503310147723
-33.25,-59.75,R_PARANA_PARANA-PAVON_KM0185,10,1.5847046,1.103059,0.8222884863021865
-35.25,-66.5,R_COLORADO-01_DESAGUADERO_KM1091,20,6.463436,6.451172,0.1810149293116507
-30.34,-59.49,R_PARANA_PARANA-PAVON-TRIB-07_KM0712,10,0.8995073,0.6672802,0.7202369086011199
-32.72,142.38,R_MURRAY_DARLING_KM1180,20,10.460184,10.454155,0.08717808884690915
-35.81,-59.32,R_SALADO_ARROYO-LAS-FLORES_KM0314,20,1.4059619,1.2424335,0.36000088772133665
-35.52,-59.4,R_SALADO_ARROYO-SALADILLO_KM0316,20,0.4464489,-0.11320877,0.4197443165543133
-35.49,-59.47,R_SALADO_ARROYO-SALADILLO_KM0324,10,2.9785497,-2.9118938,0.5905409604136637
-35.48,-59.89,R_SALADO_ARROYO-SALADILLO_KM0371,20,0.42865747,-0.17287827,0.6551202751030342
-35.97,-57.87,R_SALADO_SALADO_KM0081,10,1.3292325,-0.65794635,0.19409943846631153
-35.75,-58.62,R_SALADO_SALADO_KM0212,10,5.628377,5.2325716,-0.061293208334813505
-32.35,142.47,R_MURRAY_DARLING_KM1270,20,6.5335674,6.5206184,0.5660174771939743
-32.09,142.97,R_MURRAY_DARLING_KM1384,10,9.083433,8.916225,0.7954847540438829
-32.01,142.95,R_MURRAY_DARLING_KM1400,10,9.022263,8.893784,0.7992638301251904
-36.17,145.1,R_MURRAY_GOULBURN_KM1666,30,5.732806,5.6895905,0.4794035393127867
-35.3,-59.42,R_SALADO_SALADO_KM0339,20,1.0844157,1.0442162,0.7589009751600216
-37.13,145.26,R_MURRAY_GOULBURN_KM1940,10,5.6695375,-5.6011353,0.1823078857939667
-34.18,140.3,R_MURRAY_MURRAY_KM0360,10,3.5326097,3.3973994,0.08121612481187578
-34.76,-66.64,R_COLORADO-01_DESAGUADERO_KM1168,20,6.0487065,6.026367,-0.11612620973456894
-34.4,140.49,R_MURRAY_MURRAY_KM0415,10,1.6004303,1.4365311,0.06151646763316566
-34.17,140.77,R_MURRAY_MURRAY_KM0505,10,1.488382,1.2948933,0.19997232106211116
-34.06,141.05,R_MURRAY_MURRAY_KM0601,10,3.5666807,3.5453453,0.8136801828694485
-34.06,141.2,R_MURRAY_MURRAY_KM0630,10,4.7167506,4.697258,0.2807809577085857
-34.13,141.32,R_MURRAY_MURRAY_KM0651,10,3.1758132,3.1329517,0.8457697424680606
-34.15,141.49,R_MURRAY_MURRAY_KM0682,10,3.3542447,3.3279476,0.8833740607714544
-35.3,-59.47,R_SALADO_SALADO_KM0345,20,0.4006756,0.15388107,0.5816444371866815
-34.1,141.68,R_MURRAY_MURRAY_KM0730,10,2.4559999,2.4066372,0.6979984900154214
-34.12,141.97,R_MURRAY_MURRAY_KM0778,10,2.1982658,2.1210938,0.5314162868243872
-34.59,142.76,R_MURRAY_MURRAY_KM1030,10,3.437892,3.3678703,0.4779985070957831
-34.58,142.77,R_MURRAY_MURRAY_KM1035,10,3.43367,3.3732796,0.631347448439005
