lats,lons,pnames,flag,RMSE(AltiMaP),bias(AltiMaP),corr(AltiMaP)
-31.14,-58.8,R_PARANA_GUALEGUAY_KM0597,20,1.0011305,0.3558426,0.7002884727907438
-33.56,150.88,R_HAWKESBURY_HAWKESBURY_KM0087,10,2.748241,2.5266678,0.09850324541050796
-32.83,142.34,R_MURRAY_DARLING_KM1156,10,9.702293,9.66534,0.09656031023206355
-34.86,139.42,R_MURRAY_MURRAY_KM0098,10,1.7349896,1.6204009,0.6407844825745674
-33.93,-58.54,R_PARANA_PARANA-GUAZU_KM0002,10,1.2995083,-1.2546916,0.48103394955615336
-32.81,151.7,R_HUNTER_HUNTER_KM0008,10,0.46844804,-0.24843425,0.182054233245312
-34.9,139.58,R_MURRAY_MURRAY_KM0117,10,1.7567437,1.6592555,0.6785932649070598
-33.87,-58.96,R_PARANA_PARANA-GUAZU_KM0049,10,1.0452275,0.66542554,0.6865016136622181
-32.74,151.72,R_HUNTER_HUNTER_KM0024,10,0.50868773,0.17015928,0.04825235176370005
-34.8,139.55,R_MURRAY_MURRAY_KM0137,10,2.9493456,2.8508077,-0.06271531743955298
-33.87,-58.97,R_PARANA_PARANA-GUAZU_KM0050,10,1.1139778,0.7355858,0.5041315390493343
-34.06,139.8,R_MURRAY_MURRAY_KM0275,10,4.5463877,4.328716,0.33338332785910585
-33.85,-58.99,R_PARANA_PARANA-GUAZU_KM0053,10,1.0672631,0.38898158,0.5869553529909944
-33.54,-59.37,R_PARANA_PARANA-IBICUY_KM0115,10,2.1358216,1.8685803,0.8022052199761702
-33.38,-59.57,R_PARANA_PARANA-IBICUY_KM0145,10,2.0057817,1.6270008,0.8000382310309401
-32.46,150.86,R_HUNTER_HUNTER_KM0196,20,3.7423043,-3.7071304,0.14218486374085268
-33.73,-59.42,R_PARANA_PARANA_KM0122,10,1.7796875,1.1566768,0.5916929543581763
-31.01,152.96,R_MACLEAY_MACLEAY_KM0023,10,0.5414792,0.08899814,0.2728729838183573
-33.71,-59.47,R_PARANA_PARANA_KM0127,10,1.7765819,1.2712898,0.7207635999006227
-33.65,-59.49,R_PARANA_PARANA_KM0134,10,1.987099,1.5845909,0.7778504753979294
-33.25,-59.61,R_PARANA_PARANA_KM0168,10,1.78029,1.4659481,0.8287518231115999
-33.53,-59.83,R_PARANA_PARANA_KM0181,10,1.8030535,1.3439641,0.9029456377790039
-30.92,-59.79,R_PARANA_PARANA_KM0622,10,4.9188385,-4.460493,0.9160503310147723
-33.25,-59.75,R_PARANA_PARANA-PAVON_KM0185,10,1.5847046,1.103059,0.8222884863021865
-35.25,-66.5,R_COLORADO-01_DESAGUADERO_KM1091,20,6.463436,6.451172,0.1810149293116507
-30.34,-59.49,R_PARANA_PARANA-PAVON-TRIB-07_KM0712,10,0.8995073,0.6672802,0.7202369086011199
-32.72,142.38,R_MURRAY_DARLING_KM1180,20,11.377226,11.372391,0.1483137663852782
-35.81,-59.32,R_SALADO_ARROYO-LAS-FLORES_KM0314,20,1.4059619,1.2424335,0.36000088772133665
-35.52,-59.4,R_SALADO_ARROYO-SALADILLO_KM0316,20,0.44915867,-0.008640289,0.42817520978528806
-35.49,-59.47,R_SALADO_ARROYO-SALADILLO_KM0324,10,0.73746103,0.056095123,0.31134923032796924
-35.48,-59.89,R_SALADO_ARROYO-SALADILLO_KM0371,20,0.42865747,-0.17287827,0.6551202751030342
-35.97,-57.87,R_SALADO_SALADO_KM0081,10,1.3292325,-0.65794635,0.19409943846631153
-35.75,-58.62,R_SALADO_SALADO_KM0212,10,5.628377,5.2325716,-0.061293208334813505
-32.35,142.47,R_MURRAY_DARLING_KM1270,20,6.5380473,6.52512,0.561905240878888
-32.09,142.97,R_MURRAY_DARLING_KM1384,10,9.083433,8.916225,0.7954847540438829
-32.01,142.95,R_MURRAY_DARLING_KM1400,10,9.968023,9.848778,0.7817008303487709
-36.17,145.1,R_MURRAY_GOULBURN_KM1666,30,5.732806,5.6895905,0.4794035393127867
-35.3,-59.42,R_SALADO_SALADO_KM0339,20,1.0844157,1.0442162,0.7589009751600216
-37.13,145.26,R_MURRAY_GOULBURN_KM1940,10,5.6695375,-5.6011353,0.1823078857939667
-34.18,140.3,R_MURRAY_MURRAY_KM0360,10,3.5326097,3.3973994,0.08121612481187578
-34.76,-66.64,R_COLORADO-01_DESAGUADERO_KM1168,20,6.0487065,6.026367,-0.11612620973456894
-34.4,140.49,R_MURRAY_MURRAY_KM0415,10,1.6004303,1.4365311,0.06151646763316566
-34.17,140.77,R_MURRAY_MURRAY_KM0505,10,1.488382,1.2948933,0.19997232106211116
-34.06,141.05,R_MURRAY_MURRAY_KM0601,10,4.0363245,4.008854,0.7990204071005096
-34.06,141.2,R_MURRAY_MURRAY_KM0630,10,4.7167506,4.697258,0.2807809577085857
-34.13,141.32,R_MURRAY_MURRAY_KM0651,10,3.1758132,3.1329517,0.8457697424680606
-34.15,141.49,R_MURRAY_MURRAY_KM0682,10,5.0252304,5.0132504,0.8850307989876255
-35.3,-59.47,R_SALADO_SALADO_KM0345,20,1.2248372,1.185688,0.6124569383084503
-34.1,141.68,R_MURRAY_MURRAY_KM0730,10,4.571387,4.5502434,0.6517301132328859
-34.12,141.97,R_MURRAY_MURRAY_KM0778,10,3.9709241,3.9067879,0.5149907678581236
-34.59,142.76,R_MURRAY_MURRAY_KM1030,10,3.437892,3.3678703,0.4779985070957831
-34.58,142.77,R_MURRAY_MURRAY_KM1035,10,3.43367,3.3732796,0.631347448439005
-34.72,143.2,R_MURRAY_MURRAY_KM1133,10,5.299257,5.2833595,0.6554942433081524
-34.78,143.29,R_MURRAY_MURRAY_KM1160,10,5.5130124,5.484005,0.5531080813580246
-35.19,143.41,R_MURRAY_MURRAY_KM1249,10,2.442143,2.3394966,0.25325553986823984
-35.5,143.97,R_MURRAY_MURRAY_KM1365,10,1.7708547,1.5340347,0.6599655619071392
-35.16,-59.84,R_SALADO_SALADO_KM0401,20,2.182303,2.1622658,0.6277157774188052
-35.74,144.3,R_MURRAY_MURRAY_KM1434,10,1.9795321,-1.7889328,0.6721786879194399
-35.13,-59.99,R_SALADO_SALADO_KM0420,10,0.34286612,-0.0656929,0.19018557578940112
-35.86,145.01,R_MURRAY_MURRAY_KM1663,10,0.8495475,-0.49069977,0.2467700098954814
-35.47,-57.55,R_SAMBOROMBON_SAMBOROMBON_KM0062,20,1.2808893,1.0551016,0.812671608691673
-35.84,145.2,R_MURRAY_MURRAY_KM1697,10,1.5221918,1.448349,0.413304299640217
-35.82,145.47,R_MURRAY_MURRAY_KM1739,10,4.1191344,4.010727,0.3593322238350123
