time,chainage [m],lat,lon,observed height [m],outlier
20111022 20:16:07,513328.87,29.195365,86.61338,5506.18,1
20110407 18:12:25,515905.75,29.190014,86.62649,5376.19,1
20121025 02:00:55,519690.49,29.199241,86.662901,5513.6,1
20130117 21:47:51,522097.24,29.198543,86.686232,5492.51,1
20130117 21:47:51,523554.08,29.206899,86.697957,5466.28,1
20130413 05:41:21,524062.54,29.204522,86.703108,5275.37,1
20130117 21:47:51,526788.07,29.205081,86.725786,4917.25,1
20130929 21:15:46,530497.7,29.199324,86.76151,4644.5,1
20130929 21:15:46,531686.18,29.188262,86.769457,4527.12,1
20111218 05:35:01,531863.07,29.191535,86.772318,5151.69,1
20120926 15:32:14,533609.38,29.185602,86.788268,4135.33,0
20120703 07:38:36,535147.89,29.1882,86.802775,5495.72,1
20110407 06:06:11,535192.28,29.19203,86.803318,5466.49,1
20120703 07:38:36,538747.3,29.186589,86.837076,5475.11,1
20121220 11:19:17,540404.39,29.186673,86.85289,5370.46,1
20121220 11:19:17,541203.94,29.183795,86.860019,5373.56,1
20111218 05:35:01,541244.08,29.183412,86.860421,5349.01,1
20110309 19:37:25,543447.99,29.185978,86.883169,5385.6,1
20120312 01:22:31,543889.26,29.182403,86.887606,5406.35,1
20130929 09:09:28,548338.71,29.169638,86.928191,5438.46,1
20130929 09:09:28,553620.49,29.165828,86.980105,5463.35,1
20121219 23:13:03,557397.95,29.171615,87.014084,5537.92,1
20121219 23:13:03,560907.02,29.153375,87.037257,5623.13,1
20120311 13:16:20,566414.19,29.142719,87.083928,5660.94,1
20111119 06:59:48,569290.73,29.164062,87.100147,5247.36,1
20130314 19:00:08,569901.77,29.167046,87.10569,5640.53,1
20130831 10:34:32,574840.33,29.15505,87.143325,5108.24,1
20130831 10:34:32,575495.63,29.152574,87.149401,5103.37,1
20130214 08:31:24,577567.88,29.141901,87.165152,5180.42,1
20130214 08:31:24,579661.32,29.143964,87.186545,5182.28,1
20110825 23:06:02,581544.46,29.142893,87.205541,5349.43,1
20120506 22:34:55,582714.19,29.148183,87.214038,5461.02,1
20130831 10:34:32,588861.65,29.132031,87.260594,5793.04,1
20121121 00:38:14,589367.81,29.131469,87.265797,5947.98,1
20121121 00:38:14,589972.81,29.128938,87.271442,5960.49,1
20100725 06:52:34,590472.46,29.127823,87.276405,6016.61,1
20120114 04:12:33,600278.65,29.119808,87.368219,5847.75,1
20131026 19:53:08,601338.78,29.119098,87.379088,5836.61,1
20120114 04:12:33,603165.11,29.11358,87.396179,5915.48,1
20131026 07:46:57,614554.26,29.113377,87.499768,5510.09,1
20120701 19:47:09,615747,29.11199,87.512084,5457.5,1
20110405 18:14:45,616575.24,29.114584,87.520201,5463.68,1
20120701 19:47:09,619689.21,29.113509,87.550954,5465.98,1
20121023 02:03:23,620315.17,29.116816,87.554565,5595.21,1
20120701 19:47:09,621812.04,29.12107,87.569146,5411.15,1
20130115 21:50:19,625426.89,29.125456,87.603784,4653.57,1
20130927 21:18:06,627321.61,29.136427,87.621772,3987.36,0
20120924 15:34:35,629921.18,29.135714,87.646216,3982.72,0
20120407 11:53:43,630006.09,29.136912,87.646915,4681.75,1
20130410 17:37:33,630245.45,29.13537,87.649628,4343.49,1
20101212 23:52:26,632003.99,29.13051,87.664976,4563.59,1
20110922 09:49:41,632256.69,29.127153,87.6679,5099.05,1
20120407 11:53:43,632902.02,29.127042,87.674857,4682.98,1
20130704 13:24:48,635180.29,29.143348,87.68507,4886.24,1
20110405 06:08:38,635420.26,29.14552,87.685693,4337.01,1
20130410 17:37:33,636209.45,29.152626,87.683942,4527.7,1
20130927 21:18:06,636606.39,29.156201,87.683152,3978.02,0
20121218 11:21:38,636660.82,29.156729,87.686919,3972.75,0
20121218 11:21:38,636971.53,29.159499,87.683394,3973.95,0
20130927 21:18:06,637295.34,29.161639,87.682266,3978.72,0
20120924 15:34:35,637429.71,29.163994,87.68378,3974.68,0
20120924 15:34:35,638640.88,29.172157,87.678853,3974.33,0
20130927 21:18:06,638686.8,29.172683,87.674985,3971.3,0
20121218 11:21:38,638728.22,29.172922,87.679675,3969.98,0
20120924 15:34:35,638859.13,29.174784,87.68029,3972.73,0
